3 13192
1.079029 -0.103663 0.652533
1.067072 -0.077413 0.662707
1.017723 -0.056305 0.643467
1.009184 -0.056481 0.616360
1.005462 -0.051167 0.587577
1.003826 -0.038072 0.563479
1.001020 -0.018325 0.547490
0.994664 0.004519 0.539134
0.984079 0.026314 0.534797
0.970291 0.044112 0.529672
0.955328 0.057190 0.519904
0.941227 0.066984 0.504002
0.929203 0.076158 0.483065
0.919287 0.087329 0.459937
0.910503 0.102020 0.437808
0.901413 0.120228 0.418888
0.890759 0.140665 0.403682
0.877929 0.161486 0.391039
0.863085 0.181116 0.378858
0.846966 0.198842 0.365072
0.830488 0.214963 0.348461
0.814340 0.230507 0.329003
0.798739 0.246710 0.307696
0.783411 0.264491 0.286020
0.767766 0.284144 0.265286
0.751167 0.305322 0.246160
0.733171 0.327276 0.228509
0.713651 0.349211 0.211578
0.692781 0.370604 0.194383
0.670895 0.391356 0.176129
0.648317 0.411763 0.156495
0.625218 0.432332 0.135688
0.601555 0.453546 0.114299
0.577101 0.475679 0.093035
0.551540 0.498715 0.072453
0.524571 0.522393 0.052799
0.495990 0.546329 0.033987
0.465724 0.570166 0.015706
0.433800 0.593677 -0.002405
0.400288 0.616812 -0.020584
0.365231 0.639653 -0.038849
0.328600 0.662333 -0.056985
0.290281 0.684943 -0.074614
0.250084 0.707460 -0.091297
0.207789 0.729727 -0.106640
0.163177 0.751466 -0.120351
0.116062 0.772325 -0.132253
0.066302 0.791929 -0.142236
0.013789 0.809912 -0.150194
-0.041570 0.825925 -0.155961
-0.099871 0.839616 -0.159261
-0.161230 0.850596 -0.159701
-0.225780 0.858389 -0.156777
-0.293668 0.862398 -0.149915
-0.365033 0.861872 -0.138501
-0.439986 0.855891 -0.121920
-0.518582 0.843353 -0.099579
-0.600800 0.822966 -0.070923
-0.686507 0.793229 -0.035459
-0.775430 0.752415 0.007210
-0.867110 0.698540 0.057319
-0.960833 0.629331 0.114831
-1.055543 0.542196 0.179264
-1.149722 0.434224 0.249421
-1.241210 0.302207 0.323006
-1.326985 0.142747 0.396055
-1.402844 -0.047514 0.462144
-1.462998 -0.271441 0.511273
-1.499540 -0.530566 0.528388
-1.501794 -0.823580 0.491559
-1.455622 -1.143698 0.370155
-1.342940 -1.474222 0.124182
-1.142273 -1.781473 -0.292033
-0.832355 -2.005090 -0.914558
-0.403018 -2.049734 -1.730349
0.121155 -1.794029 -2.605536
0.648409 -1.149044 -3.223415
1.016361 -0.176600 -3.180538
1.073768 0.840408 -2.335615
0.806069 1.535365 -1.063266
0.359294 1.710160 0.018918
-0.066271 1.438880 0.528503
-0.335912 0.963627 0.459231
-0.419472 0.526419 0.012314
-0.358412 0.277790 -0.579500
-0.222658 0.271614 -1.114044
-0.086694 0.485136 -1.426352
-0.015883 0.833945 -1.411208
-0.050800 1.193538 -1.068950
-0.193272 1.441453 -0.522152
-0.407429 1.505208 0.040511
-0.639271 1.384505 0.460321
-0.841976 1.135234 0.669275
-0.991065 0.832550 0.684865
-1.084424 0.539162 0.568012
-1.133451 0.291945 0.383908
-1.153650 0.103841 0.182192
-1.158820 -0.027854 -0.006922
-1.158884 -0.113319 -0.168919
-1.159916 -0.164629 -0.299466
-1.165074 -0.192800 -0.399660
-1.175656 -0.206730 -0.472722
-1.191943 -0.213229 -0.522073
-1.213744 -0.217556 -0.550486
-1.240646 -0.224075 -0.559991
-1.272044 -0.236811 -0.552269
-1.307011 -0.259785 -0.529302
-1.344084 -0.297086 -0.494145
-1.381015 -0.352675 -0.451696
-1.414527 -0.429942 -0.409432
-1.440107 -0.531004 -0.378078
-1.451854 -0.655735 -0.372202
-1.442422 -0.800435 -0.410653
-1.403133 -0.956029 -0.516534
-1.324452 -1.105629 -0.715968
-1.197175 -1.221539 -1.034023
-1.015025 -1.262370 -1.484868
-0.779601 -1.172689 -2.052167
-0.508439 -0.890984 -2.658172
-0.244446 -0.375112 -3.133895
-0.058337 0.350971 -3.233764
-0.029088 1.154171 -2.752697
-0.199025 1.812784 -1.712054
-0.535691 2.124899 -0.419874
-0.942687 2.021710 0.718627
-1.314002 1.583770 1.455844
-1.583578 0.963424 1.778416
-1.735719 0.294209 1.808237
-0.824719 0.850182 0.136268
-0.942134 0.751360 0.241823
-1.732167 -1.833414 1.854694
0.672837 0.421516 0.155578
0.642400 0.448276 0.158214
0.550780 0.486188 0.100259
0.526486 0.499891 0.064255
0.503891 0.520220 0.029885
0.480424 0.547123 0.002358
0.453747 0.578186 -0.016280
0.422534 0.609883 -0.027366
0.386749 0.639015 -0.034594
0.347397 0.663798 -0.042276
0.305944 0.684232 -0.053672
0.263670 0.701763 -0.069973
0.221217 0.718470 -0.090193
0.178436 0.736176 -0.111811
0.134546 0.755802 -0.131807
0.088468 0.777132 -0.147660
0.039195 0.798999 -0.157996
-0.013941 0.819727 -0.162729
-0.071159 0.837650 -0.162761
-0.132299 0.851500 -0.159405
-0.196987 0.860570 -0.153791
-0.264834 0.864636 -0.146423
-0.335590 0.863716 -0.137027
-0.409209 0.857769 -0.124636
-0.485827 0.846430 -0.107867
-0.565668 0.828853 -0.085238
-0.648927 0.803670 -0.055452
-0.735649 0.769035 -0.017582
-0.825636 0.722715 0.028840
-0.918368 0.662179 0.083788
-1.012938 0.584657 0.146713
-1.107974 0.487171 0.216433
-1.201522 0.366547 0.290895
-1.290874 0.219448 0.366746
-1.372308 0.042506 0.438650
-1.440725 -0.167382 0.498302
-1.489166 -0.412434 0.533071
-1.508196 -0.692822 0.524268
-1.485188 -1.004598 0.445193
-1.403671 -1.336109 0.259691
-1.243255 -1.662100 -0.076690
-0.981529 -1.934906 -0.607680
-0.601166 -2.074337 -1.348853
-0.107761 -1.965881 -2.228698
0.438998 -1.493587 -3.010057
0.901586 -0.637905 -3.294794
1.106481 0.409414 -2.777171
0.968074 1.284662 -1.612991
0.571980 1.689694 -0.381872
0.113998 1.584894 0.388978
-0.231527 1.163117 0.543613
-0.390744 0.685403 0.223174
-0.380903 0.346630 -0.337801
-0.264617 0.239882 -0.920662
-0.117289 0.372350 -1.341901
-0.010873 0.682543 -1.465092
0.000950 1.056832 -1.242641
-0.100536 1.364082 -0.752865
-0.292554 1.506133 -0.172570
-0.524192 1.454217 0.314431
-0.742277 1.247191 0.601148
-0.912385 0.958808 0.676838
-1.024595 0.660656 0.592893
-1.086836 0.400897 0.418319
-1.167301 -0.094477 -0.418980
1.290778 -0.509267 1.117152
1.280653 -0.492011 1.130824
1.266755 -0.486576 1.136736
1.254585 -0.491241 1.131028
1.247999 -0.500205 1.115334
1.247846 -0.506731 1.095184
1.252103 -0.506144 1.077082
1.257183 -0.497470 1.065640
1.259696 -0.483268 1.061909
1.257860 -0.468001 1.063458
1.252001 -0.455834 1.065940
1.244082 -0.448905 1.065248
1.236604 -0.446740 1.059230
1.231453 -0.446873 1.048282
1.229208 -0.446221 1.034776
