3 2522
0.798739 0.246710 0.307696
0.733171 0.327276 0.228509
0.713651 0.349211 0.211578
0.692781 0.370604 0.194383
0.670895 0.391356 0.176129
0.648317 0.411763 0.156495
0.625218 0.432332 0.135688
0.601555 0.453546 0.114299
0.577101 0.475679 0.093035
0.551540 0.498715 0.072453
0.524571 0.522393 0.052799
0.495990 0.546329 0.033987
0.465724 0.570166 0.015706
0.433800 0.593677 -0.002405
0.400288 0.616812 -0.020584
0.365231 0.639653 -0.038849
0.328600 0.662333 -0.056985
0.290281 0.684943 -0.074614
0.250084 0.707460 -0.091297
0.207789 0.729727 -0.106640
0.163177 0.751466 -0.120351
0.116062 0.772325 -0.132253
0.066302 0.791929 -0.142236
0.013789 0.809912 -0.150194
-0.041570 0.825925 -0.155961
-0.099871 0.839616 -0.159261
-0.161230 0.850596 -0.159701
-0.225780 0.858389 -0.156777
-0.293668 0.862398 -0.149915
-0.365033 0.861872 -0.138501
-0.439986 0.855891 -0.121920
-0.518582 0.843353 -0.099579
-0.600800 0.822966 -0.070923
-0.686507 0.793229 -0.035459
-0.775430 0.752415 0.007210
-0.867110 0.698540 0.057319
-0.960833 0.629331 0.114831
-1.055543 0.542196 0.179264
-1.149722 0.434224 0.249421
-1.241210 0.302207 0.323006
-1.326985 0.142747 0.396055
-1.402844 -0.047514 0.462144
-1.462998 -0.271441 0.511273
-1.499540 -0.530566 0.528388
-1.501794 -0.823580 0.491559
-1.455622 -1.143698 0.370155
-1.342940 -1.474222 0.124182
-1.142273 -1.781473 -0.292033
-0.832355 -2.005090 -0.914558
-0.403018 -2.049734 -1.730349
0.121155 -1.794029 -2.605536
0.648409 -1.149044 -3.223415
0.359294 1.710160 0.018918
-0.066271 1.438880 0.528503
-0.335912 0.963627 0.459231
-0.419472 0.526419 0.012314
-0.358412 0.277790 -0.579500
-0.222658 0.271614 -1.114044
-0.086694 0.485136 -1.426352
-0.015883 0.833945 -1.411208
-0.050800 1.193538 -1.068950
-0.193272 1.441453 -0.522152
-0.407429 1.505208 0.040511
-0.639271 1.384505 0.460321
-0.841976 1.135234 0.669275
-0.991065 0.832550 0.684865
-1.084424 0.539162 0.568012
-1.133451 0.291945 0.383908
-1.153650 0.103841 0.182192
-1.158820 -0.027854 -0.006922
-1.158884 -0.113319 -0.168919
-1.159916 -0.164629 -0.299466
-1.165074 -0.192800 -0.399660
-1.175656 -0.206730 -0.472722
-1.191943 -0.213229 -0.522073
-1.213744 -0.217556 -0.550486
-1.240646 -0.224075 -0.559991
-1.272044 -0.236811 -0.552269
-1.307011 -0.259785 -0.529302
-1.344084 -0.297086 -0.494145
-1.381015 -0.352675 -0.451696
-1.414527 -0.429942 -0.409432
-1.440107 -0.531004 -0.378078
-1.451854 -0.655735 -0.372202
-1.442422 -0.800435 -0.410653
-0.485827 0.846430 -0.107867
-1.012938 0.584657 0.146713
-1.107974 0.487171 0.216433
-1.201522 0.366547 0.290895
1.192536 -0.348954 0.929247
1.188206 -0.339538 0.922615
1.183229 -0.331023 0.915468
1.173262 -0.316459 0.897599
1.168924 -0.309376 0.887147
1.165013 -0.301666 0.876448
1.161246 -0.293069 0.866086
1.157281 -0.283683 0.856360
1.152868 -0.273859 0.847197
1.147937 -0.264018 0.838240
1.142599 -0.254455 0.829039
1.137063 -0.245241 0.819250
1.131539 -0.236222 0.808765
1.126143 -0.227123 0.797713
1.120863 -0.217673 0.786374
1.115584 -0.207724 0.775034
1.110149 -0.197284 0.763868
1.104428 -0.186492 0.752879
1.098366 -0.175535 0.741926
1.091992 -0.164561 0.730797
1.085388 -0.153623 0.719313
1.078649 -0.142668 0.707388
1.071832 -0.131575 0.695055
1.064941 -0.120215 0.682428
1.057929 -0.108500 0.669644
1.050721 -0.096415 0.656799
1.043248 -0.084006 0.643916
1.035468 -0.071352 0.630944
1.027377 -0.058523 0.617788
1.019001 -0.045552 0.604353
1.010373 -0.032423 0.590583
1.001518 -0.019084 0.576473
0.992435 -0.005471 0.562065
0.983100 0.008467 0.547421
0.973473 0.022749 0.532593
0.963510 0.037366 0.517602
0.953178 0.052291 0.502436
0.942457 0.067491 0.487054
0.931343 0.082950 0.471410
0.919837 0.098673 0.455469
0.907937 0.114681 0.439220
0.895634 0.131006 0.422675
0.882904 0.147677 0.405862
0.869715 0.164712 0.388811
0.856029 0.182113 0.371541
0.841812 0.199872 0.354056
0.827030 0.217978 0.336347
0.811658 0.236420 0.318398
0.795673 0.255197 0.300197
0.779049 0.274315 0.281740
0.761759 0.293786 0.263037
0.743765 0.313622 0.244111
0.725027 0.333829 0.224988
0.705496 0.354405 0.205695
0.685121 0.375343 0.186257
0.663852 0.396628 0.166695
0.641635 0.418244 0.147027
0.618417 0.440171 0.127276
0.594143 0.462394 0.107469
0.568754 0.484894 0.087645
0.542183 0.507649 0.067854
0.514359 0.530631 0.048155
0.485204 0.553802 0.028619
0.454632 0.577116 0.009322
0.422554 0.600512 -0.009650
0.388876 0.623919 -0.028204
0.353497 0.647253 -0.046235
0.316314 0.670415 -0.063621
0.277214 0.693290 -0.080227
0.236081 0.715745 -0.095893
0.192788 0.737622 -0.110436
0.147204 0.758733 -0.123648
0.099189 0.778858 -0.135295
0.048600 0.797736 -0.145112
-0.004713 0.815057 -0.152803
-0.060901 0.830459 -0.158038
-0.120114 0.843516 -0.160449
-0.182500 0.853725 -0.159631
-0.248198 0.860497 -0.155134
-0.317332 0.863142 -0.146471
-0.390002 0.860847 -0.133117
-0.466273 0.852656 -0.114516
-0.546156 0.837449 -0.090099
-0.629588 0.813912 -0.059307
-0.716397 0.780509 -0.021630
-0.806266 0.735449 0.023333
-0.898672 0.676657 0.075784
-0.992810 0.601744 0.135585
-1.087495 0.507993 0.202058
-1.181018 0.392367 0.273683
-1.270958 0.251562 0.347665
-1.353932 0.082148 0.419299
-1.425249 -0.119141 0.481084
-1.478468 -0.354843 0.521492
-1.504823 -0.625744 0.523361
-1.492543 -0.929058 0.462007
-1.426182 -1.255272 0.303590
-1.286355 -1.582900 0.005408
-0.177818 1.287758 0.561858
-0.383464 0.801998 0.338532
-0.316728 0.248166 -0.775621
-0.172676 0.322096 -1.251478
-0.052204 0.593450 -1.460665
-0.014249 0.960879 -1.328510
-0.087384 1.294897 -0.898151
-0.259546 1.485204 -0.324356
-0.485859 1.483198 0.203824
-0.712136 1.311006 0.554884
-0.898186 1.035423 0.693120
-1.027726 0.730157 0.655973
-1.104387 0.449774 0.509363
-1.141883 0.222350 0.314525
-1.155612 0.054520 0.114475
-1.158186 -0.059772 -0.066415
-1.158183 -0.131868 -0.217621
-1.160591 -0.173759 -0.337058
-1.167842 -0.195874 -0.426800
-1.180812 -0.206460 -0.490285
-1.199562 -0.211835 -0.530800
-1.223776 -0.216988 -0.550935
-1.252919 -0.226208 -0.552687
-1.286211 -0.243555 -0.537969
-1.322459 -0.273091 -0.509310
-1.359827 -0.318845 -0.470634
-1.395595 -0.384511 -0.428011
-1.425931 -0.472902 -0.390365
-1.445704 -0.585133 -0.370109
-1.448380 -0.719513 -0.383686
-1.426028 -0.870015 -0.451828
-1.369580 -1.024213 -0.599089
-1.269586 -1.160585 -0.851533
-1.117951 -1.245465 -1.230410
-0.911487 -1.230965 -1.738327
-1.352479 -0.091400 0.266579
-1.401844 -0.268963 0.285950
0.821290 0.219667 0.331374
0.776374 0.278592 0.273328
0.758989 0.299914 0.256571
0.740224 0.320889 0.239946
0.720371 0.341219 0.222527
0.699790 0.361046 0.203764
0.678742 0.380818 0.183638
0.657287 0.401065 0.162601
0.635275 0.422179 0.141334
0.612418 0.444279 0.120473
0.588399 0.467207 0.100388
0.562976 0.490619 0.081103
0.536029 0.514141 0.062356
0.507565 0.537499 0.043766
0.477658 0.560590 0.025006
0.446386 0.583476 0.005949
0.413766 0.606311 -0.013297
0.379727 0.629244 -0.032425
0.344114 0.652338 -0.051036
0.306725 0.675526 -0.068746
0.267345 0.698612 -0.085272
0.225787 0.721319 -0.100455
0.181909 0.743340 -0.114231
0.135605 0.764379 -0.126569
0.086794 0.784182 -0.137399
0.035391 0.802514 -0.146551
-0.018710 0.819138 -0.153740
-0.075644 0.833766 -0.158565
-0.135574 0.846021 -0.160544
-0.198676 0.855411 -0.159150
-0.265122 0.861310 -0.153847
-0.335061 0.862956 -0.144100
-0.408599 0.859450 -0.129389
-0.566619 0.832662 -0.083022
-0.650979 0.806809 -0.050359
-0.738651 0.770606 -0.010758
-0.829256 0.722216 0.036125
-0.922205 0.659512 0.090426
-1.016606 0.580048 0.151911
-1.111163 0.481038 0.219744
-1.204013 0.359381 0.292153
-1.292529 0.211724 0.365947
-1.373039 0.034643 0.435826
-1.440467 -0.175017 0.493411
-1.487852 -0.419475 0.525931
-1.505745 -0.698838 0.514521
-1.481518 -1.008993 0.432326
-1.398740 -1.338020 0.243132
-1.237148 -1.660293 -0.097341
-0.974624 -1.927736 -0.632180
-0.594397 -2.059937 -1.375519
0.439267 -1.462714 -3.026892
0.095317 1.591644 0.395086
-0.248122 1.168015 0.547467
-0.139324 0.374438 -1.332371
-0.034916 0.680661 -1.459851
-0.545569 1.454075 0.310506
-0.764774 1.249167 0.609169
-0.937537 0.959685 0.699380
-1.202326 -0.220366 -0.547133
-1.226093 -0.224328 -0.567155
1.337856 -0.701145 1.328972
1.336986 -0.685033 1.308289
1.335292 -0.679432 1.305595
1.330353 -0.671127 1.298752
1.328103 -0.668298 1.293836
1.326438 -0.665626 1.288176
1.325328 -0.662510 1.282332
1.324505 -0.658620 1.276836
1.323609 -0.653991 1.271974
1.322364 -0.648957 1.267698
1.320677 -0.643954 1.263700
1.318649 -0.639318 1.259583
1.316503 -0.635159 1.255044
1.314468 -0.631348 1.249992
1.312679 -0.627610 1.244547
1.311134 -0.623665 1.238962
1.309718 -0.619347 1.233490
1.308269 -0.614661 1.228277
1.306655 -0.609746 1.223315
1.304824 -0.604799 1.218469
1.302816 -0.599982 1.213557
1.300726 -0.595352 1.208430
1.298661 -0.590861 1.203033
1.296686 -0.586385 1.197412
1.294807 -0.581796 1.191680
1.292975 -0.577010 1.185955
1.291116 -0.572020 1.180312
1.289169 -0.566886 1.174754
1.287104 -0.561695 1.169225
1.284934 -0.556523 1.163637
1.282701 -0.551401 1.157920
1.280453 -0.546310 1.152040
1.278222 -0.541197 1.146013
1.276014 -0.536000 1.139888
1.273806 -0.530678 1.133721
1.271567 -0.525223 1.127548
1.269265 -0.519659 1.121374
1.266886 -0.514024 1.115176
1.264431 -0.508352 1.108912
1.261919 -0.502661 1.102547
1.259370 -0.496942 1.096062
1.256800 -0.491171 1.089460
1.254210 -0.485320 1.082762
1.251594 -0.479368 1.075993
1.248934 -0.473306 1.069171
1.246216 -0.467145 1.062298
1.243430 -0.460899 1.055364
1.240577 -0.454584 1.048350
1.237661 -0.448207 1.041238
1.234692 -0.441765 1.034015
1.231676 -0.435247 1.026682
1.228614 -0.428637 1.019245
1.225501 -0.421925 1.011714
1.222330 -0.415105 1.004098
1.219092 -0.408179 0.996398
1.215780 -0.401151 0.988608
1.212394 -0.394028 0.980718
1.208933 -0.386813 0.972719
1.205401 -0.379501 0.964602
1.201798 -0.372089 0.956365
1.198124 -0.364566 0.948009
1.194375 -0.356926 0.939538
1.178534 -0.325140 0.904503
-1.273349 0.247303 0.349691
-1.356071 0.077054 0.421168
-1.426986 -0.125151 0.482540
-1.479595 -0.361819 0.522147
-1.505061 -0.633669 0.522647
-1.142543 0.216931 0.309003
-1.155815 0.050675 0.109232
-1.158222 -0.062314 -0.070936
-1.367902 -1.027748 -0.603492
-1.266800 -1.163430 -0.858602
-1.113896 -1.246700 -1.240520
0.310484 0.876687 0.474600
0.269834 0.374758 -0.371293
0.354000 0.449705 -0.588539
0.409776 0.621939 -0.626925
0.405331 0.821229 -0.491285
0.335038 0.975590 -0.254082
0.218536 1.040078 -0.018549
0.088663 1.010825 0.130654
-0.024279 0.918624 0.157749
-0.103305 0.809576 0.075953
-0.147184 0.725361 -0.070881
-0.166680 0.691090 -0.229156
-0.178449 0.711704 -0.351404
-0.199146 0.774548 -0.406618
-0.240867 0.855723 -0.385669
-0.308533 0.928377 -0.300941
-0.399670 0.970716 -0.179659
-0.506496 0.971270 -0.053067
-0.619307 0.929885 0.053939
-0.729693 0.854817 0.128641
-0.832451 0.757889 0.170645
-0.925858 0.649954 0.188104
-1.010767 0.538068 0.192691
-1.089212 0.424614 0.195371
-1.163106 0.307889 0.203740
-1.233303 0.183435 0.220859
-1.299059 0.045538 0.245060
-1.357789 -0.111429 0.270150
-1.404972 -0.291864 0.285579
-1.434074 -0.497883 0.276242
-1.436429 -0.728053 0.221883
-0.824675 0.172751 -0.891661
-0.785058 0.332011 -1.067373
-0.795733 0.551737 -1.046375
1.114565 -0.728048 0.604394
1.281611 -0.701753 0.458218
1.412839 -0.526860 0.498945
1.388462 -0.133854 0.937053
1.270169 -0.090239 1.111239
1.155832 -0.165850 1.157914
1.092359 -0.304098 1.085225
1.095825 -0.433021 0.947090
1.151465 -0.498131 0.812894
1.225184 -0.480487 0.739936
1.280312 -0.398869 0.751918
1.293628 -0.297061 0.831193
1.263890 -0.221219 0.931472
1.209046 -0.198533 1.004166
1.154891 -0.228097 1.021225
1.122371 -0.286532 0.982985
1.119669 -0.342289 0.912036
1.141191 -0.370184 0.840191
1.172180 -0.360496 0.794685
1.196177 -0.320530 0.787805
1.202152 -0.269131 0.813496
1.188422 -0.227010 0.852359
1.161934 -0.207517 0.882194
1.133866 -0.212048 0.888156
1.114155 -0.231487 0.867751
1.107553 -0.251876 0.829634
1.112557 -0.261038 0.788218
1.123056 -0.253280 0.756988
1.131569 -0.230706 0.743159
1.132551 -0.201166 0.745548
1.124413 -0.174101 0.756244
1.109569 -0.156332 0.764958
1.092777 -0.149588 0.763751
1.078762 -0.150617 0.749969
1.070261 -0.153364 0.726462
1.067221 -0.151940 0.699531
1.067276 -0.143017 0.675833
1.067085 -0.126783 0.659625
1.063854 -0.106317 0.651366
1.056398 -0.085866 0.648081
1.045369 -0.068899 0.645104
1.032697 -0.056797 0.638262
1.020572 -0.048608 0.625519
1.010510 -0.041817 0.607467
1.002833 -0.033632 0.586672
0.996730 -0.022167 0.566327
0.990768 -0.007064 0.548871
0.983564 0.010608 0.535112
0.974336 0.029012 0.524140
0.963121 0.046418 0.513957
0.950615 0.061894 0.502445
0.937784 0.075563 0.488244
0.925422 0.088381 0.471182
0.913848 0.101623 0.452153
0.902855 0.116317 0.432604
0.891864 0.132874 0.413869
0.880213 0.151023 0.396657
0.867422 0.170030 0.380867
0.853347 0.189068 0.365749
0.838171 0.207566 0.350302
0.822267 0.225395 0.333707
0.806011 0.242853 0.315622
0.789617 0.260476 0.296248
0.719999 0.339549 0.217477
-0.833407 0.719622 0.037987
-0.926445 0.656347 0.092744
-1.020916 0.576152 0.154717
-1.115490 0.476225 0.223004
-1.208264 0.353444 0.295751
-1.296559 0.204454 0.369672
-1.376640 0.025840 0.439339
-1.443351 -0.185517 0.496204
-1.489622 -0.431770 0.527250
-1.505869 -0.712880 0.513282
-1.479289 -1.024468 0.427022
-1.393252 -1.354124 0.231798
-1.227321 -1.675380 -0.116945
-0.258930 1.143477 0.540633
-0.275195 0.245545 -0.937578
-0.130836 0.385940 -1.347121
-0.029808 0.698612 -1.457635
-0.023732 1.069821 -1.226102
-0.555144 1.447182 0.330460
-0.772577 1.236157 0.617490
-0.942375 0.944583 0.697155
-1.055063 0.642334 0.619999
-1.118354 0.376107 0.453122
-1.147190 0.166745 0.253006
-1.156448 0.016173 0.056823
-1.157580 -0.083914 -0.115734
-1.158019 -0.145444 -0.257151
-1.161891 -0.180132 -0.366929
-1.171077 -0.197829 -0.447759
-1.186142 -0.206224 -0.503145
-1.206988 -0.211247 -0.536227
-1.233194 -0.217687 -0.549460
-1.264115 -0.229784 -0.544869
-1.298800 -0.251621 -0.524637
-1.335804 -0.287259 -0.491835
-1.372954 -0.340617 -0.451195
-1.407110 -0.415074 -0.409849
-1.433954 -0.512838 -0.378004
-1.447831 -0.634023 -0.369555
-1.441683 -0.775404 -0.402538
